building_name,adress,city,state,zip,bldg_class,size,available_area
10th Avenue House,10 Ave SW,Calgary,Alberta,T2R 0B4,B,25933,0
MEG Place,1001 1 St SE,Calgary,Alberta,T2G 5G3,C,48000,16500
1003 11th Street SW,1003 11 St SW,Calgary,Alberta,T2R 1G2,B,22000,0
1005 11 Ave SW,1005 11 Ave SW,Calgary,Alberta,T2R 0G1,C,20244,0
Bromley Square,1010 1 St SW,Calgary,Alberta,T2R 0B8,B,53788,0
Paramount Building,1011 1 St SW,Calgary,Alberta,T2P 1N1,B,56470,45763
Shelbourne Building,1013-1019 17th Avenue SW,Calgary,Alberta,T2T 0A7,C,20070,14581
1015 4th Street SW,1015 4th St SW,Calgary,Alberta,T2P 0S1,B,107923,32602
1021 10th Avenue SW,1021 10 Ave SW,Calgary,Alberta,T2R 0B7,B,43369,0
1029 17th Ave SW,1029 17 Ave SW,Calgary,Alberta,T2T 0A9,B,13176,8510
Rockwood Square,1032 17 Ave SW,Calgary,Alberta,T2T 0C4,B,22923,5312
Clennan Square,110 11 Ave SW,Calgary,Alberta,T2R 0E5,B,29095,3897
TransAlta Place - Tower II,110 12 Ave SW,Calgary,Alberta,T2P 2M1,A,189274,22800
TransAlta Place - Tower I,110 12th Ave SW,Calgary,Alberta,T2G 2E6,B,135975,16718
Keynote Office Tower 1,1100 1 St SE,Calgary,Alberta,T2G 1B1,A,240000,68080
1109 17 Ave SW,1109 17 Ave SW,Calgary,Alberta,T2S 2T8,B,18220,0
Eleven Eleven Building,1111 11 Ave SW,Calgary,Alberta,T2R 0G5,B,40139,0
Fairey Terrace,1111 3 St SE,Calgary,Alberta,T2G 2S9,B,10975,2491
Macleod Square,1117 Macleod Trl SE,Calgary,Alberta,T2G 1C8,C,6500,0
1122 4th Street SW,1122 4 St SW,Calgary,Alberta,T2R 1M1,B,113303,27136
1135 17 Ave SW,1135 17 Ave SW,Calgary,Alberta,T2T 0B6,C,17956,0
115 17 Ave SW,115 17 Ave SW,Calgary,Alberta,T2S 0A1,B,51402,0
Stephenson Building,1177 11 Ave SW,Calgary,Alberta,T2R 1K9,B,58940,0
Iona Building,120 17th Ave SW,Calgary,Alberta,T3H 4R5,C,38000,0
Braemar Place,1201 5 St SW,Calgary,Alberta,T2R 0Y6,B,32600,0
Forman's Clothing,1202 1 St SW,Calgary,Alberta,T2R 0V4,B,15000,5000
The Kahanoff Centre,1202 Centre Street SE,Calgary,Alberta,T2G 1A5,B,101113,0
Connaught Centre,1207 11 Ave SW,Calgary,Alberta,T2R 0G2,B,74365,38248
Eagle Block,1209 1 St SW,Calgary,Alberta,T2R 0V3,B,6185,3093
121 10th Avenue SE,121 10 Ave SE,Calgary,Alberta,T2G 0J5,C,29000,0
PetroWest Building,1210 8 Ave SW,Calgary,Alberta,T2P 1E5,B,31046,15282
Victoria Square,1212 1 St SE,Calgary,Alberta,T2G 0G8,B,25855,0
Calgary Board of Education Centre,1221 8 St SW,Calgary,Alberta,T2S 2N8,A,205000,0
Barclay Square,1300 8 Ave SW,Calgary,Alberta,T2P 1G6,B,32096,0
Van Helden Building,1301 8 St SW,Calgary,Alberta,T2R 1B7,B,22429,6029
Canadian Red Cross Building,1305 11 Ave SW,Calgary,Alberta,T3C 3P6,B,35078,0
First Seventeenth Place,1322-1324 17th Avenue SW,Calgary,Alberta,T2T 0C3,B,44372,23832
Winwood Plaza,1324 11 Ave SW,Calgary,Alberta,T3C 0M6,B,29349,1807
1331 16th Avenue SW,1331 16 Ave SW,Calgary,Alberta,T3C 1E2,B,2500,0
Stampede Station - Phase 1,1331-1337 Macleod Trl SE,Calgary,Alberta,T2G 1C8,A,153300,28857
Dorchester Square,1333 8 Ave SW,Calgary,Alberta,T2P 1G2,B,95000,43584
Customs House,134 11 Ave SE,Calgary,Alberta,T2G 0X5,A,84567,5883
Palliser South,140 10 Ave SE,Calgary,Alberta,T2G 0R1,A,299630,49656
1400 1st Street SW,1400 1 St SW,Calgary,Alberta,T2R 0V8,C,26518,5047
M-Tech Building,1401 1 St SE,Calgary,Alberta,T2H 1H9,A,26265,0
Mount Royal Place,1414 8 Ave SW,Calgary,Alberta,T2P 1C9,B,56664,28056
Hotel Arts,150 13th Avenue SW,Calgary,Alberta,T2P 3S9,A,82467,12500
Real Estate Council of Alberta,1506 11 Ave SW,Calgary,Alberta,T2R 0G1,A,37000,0
Mount Royal West,1508 8 St SW,Calgary,Alberta,T2R 1R6,A,90000,0
Centre 15,1509 Centre St NW,Calgary,Alberta,T2E 2S1,B,77000,7000
1520 4th Street SW,1520 4th Street SW,Calgary,Alberta,T2R 0Y4,B,83277,0
Camcrest Place/ National Block,1550 5 St SW,Calgary,Alberta,T2R 1K3,B,36614,0
Condon Building,1609 14 St SW,Calgary,Alberta,T2W 2Y8,C,24840,3702
1612 17 Ave SW,1612 17 Ave SW,Calgary,Alberta,T2T 0E3,C,13756,0
Cheviot Professional Building,1615 10 Ave SW,Calgary,Alberta,T3C 0J7,C,30000,11208
Sunalta Towers,1638 10 Ave SW,Calgary,Alberta,T3C 0J5,C,26073,0
1702 4th Street SW,1702 4th St SW,Calgary,Alberta,T2P 2M1,B,17883,0
1711 10th Avenue SW,1711 10 Ave SW,Calgary,Alberta,T3C 0K1,C,24000,8028
Rideau Professional Building,1711 4 St SW,Calgary,Alberta,T2S 0K3,C,35604,11707
1721 10th Avenue NW,1721 10 Ave SW,Calgary,Alberta,T3C 0K1,C,7800,3450
1725 10th Avenue SW,1725 10 Ave SW,Calgary,Alberta,T3C 0K1,C,21000,4490
Hillsboro Tower,1800 4 SW,Calgary,Alberta,T2C 4P5,C,20655,0
1800 4 St SW,1800 4 St SW,Calgary,Alberta,T2P 1T1,C,20655,0
Academy Building,1812 4 St SW,Calgary,Alberta,T2S 0K3,C,24613,27963
1815-1817 10th Avenue SW,1815-1817 10 Avenue SW,Calgary,Alberta,T3C 0K2,B,20358,0
1933 10th Avenue SW,1933 10 Ave SW,Calgary,Alberta,T3C 0K3,B,26718,0
2020 4th Street SW,2020 4 St SW,Calgary,Alberta,T2P 1S9,A,110640,8260
The District at the Beltline  - Building B,211 11 Ave SW,Calgary,Alberta,T2R 0C6,A,126429,53795
11th Avenue Place,214 11 Ave SW,Calgary,Alberta,T2R 0C5,A,176578,35821
The District at the Beltline - Building C,220 12 Ave SW,Calgary,Alberta,T2R 0E9,A,105000,40843
Maxwell Bates Block,2207 4 St SW,Calgary,Alberta,T2P 1S9,A,26743,0
Brownstone Offices,221 10 Ave SE,Calgary,Alberta,T2G 0V9,A,45000,10763
224 11th Avenue SW,224 11 Ave SW,Calgary,Alberta,T2R 0C5,B,12082,3642
Keynote R2 Podium,225 11 Ave SE,Calgary,Alberta,T2G 0X9,A,32000,1618
The District at the Beltline  - Building A,227 11 Ave SW,Calgary,Alberta,T2R 1R9,A,123074,2408
Flamingo Block,229 11 Ave SE,Calgary,Alberta,T2G 0Y1,B,15108,5591
Mission Professional Centre,2303 4 St SW,Calgary,Alberta,T2S 2S7,B,57791,21495
238 11th Ave SE,238 11 Ave SE,Calgary,Alberta,T2G 0X8,C,25655,0
Demcor Building,239 10 Ave SE,Calgary,Alberta,T2G 0V9,C,39657,0
Mission Square,2424 4 St SW,Calgary,Alberta,T2P 1T1,B,63147,0
Notre Dame Place,255 17 Ave SW,Calgary,Alberta,T2S 2T8,B,43938,3018
305 10th Avenue,305 10 Ave SE,Calgary,Alberta,T2G 0W2,C,18000,0
Louise Block,308 11 Ave SE,Calgary,Alberta,T2G 0Y2,B,36551,9190
Ribtor West (Phase I),318 11 Ave SE,Calgary,Alberta,T2G 0Y2,A,55000,13561
The Courtyard,320 17 Ave SW,Calgary,Alberta,T2T 0G1,B,54600,0
Alberta Professional Centre,320 23 Ave SW,Calgary,Alberta,T2S 0J2,C,34977,3396
The Vintage Towers - East Tower,322 11 Ave SW,Calgary,Alberta,T2R 0C5,B,94092,21795
Graycon Building,325 10 Ave SW,Calgary,Alberta,T2R 0A4,C,63782,0
The Vintage Towers - West Tower,326 11 Ave SW,Calgary,Alberta,T2R 0G1,A,102200,30176
333 Centre,333 11 Ave SW,Calgary,Alberta,T2R 0C5,B,200058,44645
Mission Commercial Centre,333 24 Ave SW,Calgary,Alberta,T2S 3C9,A,51833,5813
Ribtor East,334 11 Ave SE,Calgary,Alberta,T2G 0Y2,A,47000,0
Central Park Plaza,340 12 Ave SW,Calgary,Alberta,T2R 1L5,B,125341,64243
Lacey Court,344 12 Ave SW,Calgary,Alberta,T2R 0H2,C,6938,0
Concrete Equities Place,396 11 Ave SW,Calgary,Alberta,T2R 0C5,A,140210,60971
Pilkington Building,402 11 Ave SE,Calgary,Alberta,T2G 0X5,A,39414,5898
409 10th Avenue SE,409 10 Ave SE,Calgary,Alberta,T2E 0X5,C,66212,8000
Biscuit Block,438 11 Ave SE,Calgary,Alberta,T2G 0Y4,A,52601,22656
Addison House,501 18 Ave SW,Calgary,Alberta,T2S 0C7,C,25000,12248
Sam Livingston Building,510 12 Ave SW,Calgary,Alberta,T2R 0X5,C,43644,0
514 - 11th Avenue SW,514 11 Ave SW,Calgary,Alberta,T2R 0C8,C,15000,5000
Centron's Centre 10,517 10 Ave SW,Calgary,Alberta,T2R 0A8,A,336112,24927
Westcoast Theatre Building,522 11th Ave SW,Calgary,Alberta,T2P 1C9,C,20800,5296
524 17th Avenue SW,524 17 Ave SW,Calgary,Alberta,T2T 0G1,B,21492,1902
Duff Building,525 11 Ave SW,Calgary,Alberta,T2R 0G1,B,38684,17192
534 17th Avenue,534 17 Ave SW,Calgary,Alberta,T2S 0B1,B,20000,0
The Hudson,535 10 Ave SW,Calgary,Alberta,T2R 0A8,B,10000,0
Citadel West,540 12 Ave SW,Calgary,Alberta,T2R 1H1,A,78000,78315
550 11th Avenue SW,550 11 Ave SW,Calgary,Alberta,T2R 1M7,B,87537,14895
555 11th Avenue SW,555 11 Ave SW,Calgary,Alberta,T2R 0G1,B,17764,0
Kipling Square,601-611 10th Avenue SW,Calgary,Alberta,T2R 0B2,C,46786,15357
Sunrise Square,602 11 Ave SW,Calgary,Alberta,T2R 1M7,B,50057,21172
Parkside Place,602 12 Ave SW,Calgary,Alberta,T2R 1H1,B,86431,0
The Roberts Block,603-605 11 Ave SW,Calgary,Alberta,T2R 0E1,B,51173,9165
Roberts Block,605 11 Ave SW,Calgary,Alberta,T2R 0E1,C,30549,8358
613  11 Ave SW,613 11 Ave SW,Calgary,Alberta,T2R 0E1,B,4288,0
Highfield III,6130 3 St SE,Calgary,Alberta,T2H 1K4,C,65663,0
Lorraine Block,620 12 Ave SW,Calgary,Alberta,T2R 1H1,B,40000,9096
Atrium on Eleventh,625 11 Ave SW,Calgary,Alberta,T2R 0E1,B,33277,14922
Foundation Building,628 12 Ave SW,Calgary,Alberta,T2R 1L5,B,39000,29153
Epique House,640 12 Ave SW,Calgary,Alberta,T2R 0H5,B,33651,0
707 10th Avenue SW,707 10 Ave SW,Calgary,Alberta,T2R 0B3,B,47173,3090
Joffre Place,708 11 Ave SW,Calgary,Alberta,T2R 0E4,B,94700,35363
718 12 Avenue SW,718 12 Ave SW,Calgary,Alberta,T2R 0H7,B,20000,2648
724 11th Avenue SW,724 11 Ave SW,Calgary,Alberta,T2R 0E4,C,13068,6780
731-739 10th Avenue SW,731-739 10th Avenue SW,Calgary,Alberta,T2R 0B3,C,20208,3689
737 13th Avenue,737 13 Ave SW,Calgary,Alberta,T2R 1J1,C,49242,0
Sherwin Block,738 11 Ave SW,Calgary,Alberta,T2R 0E4,B,21158,7947
739 11th Avenue SW,739 11 Ave SW,Calgary,Alberta,T3C 0M6,C,7735,0
Mount Royal Block,801-815 17th Avenue SW,Calgary,Alberta,T2T 0A1,A,24000,0
802 11 Ave SW,802 11 Ave SW,Calgary,Alberta,T2R 0E5,B,7319,0
Cooper Blok,809 10 Ave SW,Calgary,Alberta,T2R 0A9,B,35742,5278
Glenbow Ellison,812 11 Ave SW,Calgary,Alberta,T2R 0E5,B,5676,0
Glenbow Annex,816 11 Ave SW,Calgary,Alberta,T2R 0E5,B,4511,0
Glenbow Building,822 11 Ave SW,Calgary,Alberta,T2R 0E5,B,18792,7644
General Motors Building,838 11 Ave SW,Calgary,Alberta,T2R 0E5,C,22279,1040
Greyhound Station,877 Greyhound Way SW,Calgary,Alberta,T3C 3V8,B,75000,0
Mount Royal Village,880 16 Ave SW,Calgary,Alberta,T2R 1N1,B,30351,3872
Hanson Square,901-917 Ave SW,Calgary,Alberta,T2T 0A4,A,44840,4715
902 Building,902 11 Ave SW,Calgary,Alberta,T2R 1P6,B,44611,42779
EQ Bank Tower,906 12 Ave SW,Calgary,Alberta,T2R 1K7,B,128506,50679
Devenish Building,908 17 Ave SW,Calgary,Alberta,T2T 0A3,C,31033,3606
ATCO Centre I,909 11 Ave SW,Calgary,Alberta,T2R 0E7,B,188461,0
ATCO Centre II,919 11 Ave SW,Calgary,Alberta,T2R 0E5,B,124898,0
Versus,927 10th Ave SW,Calgary,Alberta,T5J 0W9,A,10000,0
HighStreet House,933 17 Ave SW,Calgary,Alberta,T2T 5R6,B,40500,10880
999 - 8th Street,999 8 St SW,Calgary,Alberta,T2P 3S8,B,113761,27902
